t,ke,pe,ke_err,pe_err
194,5.52843422e-05,-2.82772695e-06,1.30205748e-01,1.21824468e-01
195,5.52624661e-05,-2.82646974e-06,1.30549926e-01,1.22214907e-01
196,5.52434085e-05,-2.82528516e-06,1.30849761e-01,1.22582789e-01
197,5.52271402e-05,-2.82417238e-06,1.31105712e-01,1.22928370e-01
198,5.52136256e-05,-2.82313043e-06,1.31318338e-01,1.23251957e-01
199,5.52028227e-05,-2.82215816e-06,1.31488301e-01,1.23553905e-01
200,5.51946835e-05,-2.82125427e-06,1.31616356e-01,1.23834618e-01
201,5.51891538e-05,-2.82041730e-06,1.31703356e-01,1.24094545e-01
202,5.51861735e-05,-2.81964566e-06,1.31750246e-01,1.24334185e-01
203,5.51856766e-05,-2.81893760e-06,1.31758063e-01,1.24554079e-01
204,5.51875915e-05,-2.81829123e-06,1.31727937e-01,1.24754814e-01
205,5.51918409e-05,-2.81770453e-06,1.31661079e-01,1.24937018e-01
206,5.51983424e-05,-2.81717534e-06,1.31558791e-01,1.25101363e-01
207,5.52070081e-05,-2.81670137e-06,1.31422452e-01,1.25248560e-01
208,5.52177452e-05,-2.81628020e-06,1.31253525e-01,1.25379358e-01
209,5.52304558e-05,-2.81590930e-06,1.31053547e-01,1.25494545e-01
210,5.52450377e-05,-2.81558601e-06,1.30824129e-01,1.25594945e-01
211,5.52613839e-05,-2.81530758e-06,1.30566952e-01,1.25681414e-01
212,5.52793833e-05,-2.81507113e-06,1.30283765e-01,1.25754844e-01
213,5.52989208e-05,-2.81487372e-06,1.29976381e-01,1.25816154e-01
214,5.53198773e-05,-2.81471227e-06,1.29646670e-01,1.25866293e-01
215,5.53421304e-05,-2.81458364e-06,1.29296560e-01,1.25906239e-01
216,5.53655543e-05,-2.81448462e-06,1.28928029e-01,1.25936992e-01
217,5.53900203e-05,-2.81441190e-06,1.28543103e-01,1.25959576e-01
218,5.54153967e-05,-2.81436213e-06,1.28143853e-01,1.25975033e-01
219,5.54415498e-05,-2.81433188e-06,1.27732384e-01,1.25984425e-01
220,5.54683434e-05,-2.81431770e-06,1.27310837e-01,1.25988830e-01
221,5.54956397e-05,-2.81431607e-06,1.26881382e-01,1.25989337e-01
222,5.55232993e-05,-2.81432344e-06,1.26446211e-01,1.25987046e-01
223,5.55511817e-05,-2.81433626e-06,1.26007534e-01,1.25983067e-01
224,5.55791457e-05,-2.81435093e-06,1.25567574e-01,1.25978511e-01
225,5.56070495e-05,-2.81436386e-06,1.25128560e-01,1.25974494e-01
226,5.56347513e-05,-2.81437147e-06,1.24692725e-01,1.25972130e-01
227,5.56621096e-05,-2.81437018e-06,1.24262294e-01,1.25972531e-01
228,5.56889835e-05,-2.81435643e-06,1.23839484e-01,1.25976801e-01
229,5.57152333e-05,-2.81432670e-06,1.23426494e-01,1.25986036e-01
230,5.57407204e-05,-2.81427749e-06,1.23025501e-01,1.26001317e-01
