t,ke,pe,ke_err,pe_err
213,6.35591064e-05,-3.21997045e-06,1.80285017e-05,9.79254069e-06
214,6.35589419e-05,-3.21996627e-06,2.06175143e-05,1.10907380e-05
215,6.35587694e-05,-3.21996189e-06,2.33316401e-05,1.24514938e-05
216,6.35585895e-05,-3.21995732e-06,2.61616780e-05,1.38702071e-05
217,6.35584029e-05,-3.21995258e-06,2.90978376e-05,1.53419827e-05
218,6.35582102e-05,-3.21994769e-06,3.21296793e-05,1.68616007e-05
219,6.35580121e-05,-3.21994266e-06,3.52460614e-05,1.84234900e-05
220,6.35578094e-05,-3.21993751e-06,3.84351085e-05,2.00217128e-05
221,6.35576029e-05,-3.21993227e-06,4.16842170e-05,2.16499670e-05
222,6.35573934e-05,-3.21992695e-06,4.49801065e-05,2.33016123e-05
223,6.35571818e-05,-3.21992158e-06,4.83089147e-05,2.49697174e-05
224,6.35569691e-05,-3.21991618e-06,5.16563288e-05,2.66471256e-05
225,6.35567560e-05,-3.21991077e-06,5.50077374e-05,2.83265309e-05
226,6.35565437e-05,-3.21990538e-06,5.83483864e-05,3.00005562e-05
227,6.35563330e-05,-3.21990003e-06,6.16635259e-05,3.16618263e-05
228,6.35561248e-05,-3.21989474e-06,6.49385399e-05,3.33030331e-05
229,6.35559201e-05,-3.21988955e-06,6.81590543e-05,3.49169891e-05
230,6.35557198e-05,-3.21988446e-06,7.13110246e-05,3.64966721e-05
231,6.35555247e-05,-3.21987951e-06,7.43808061e-05,3.80352594e-05
232,6.35553356e-05,-3.21987471e-06,7.73552110e-05,3.95261570e-05
233,6.35551534e-05,-3.21987008e-06,8.02215551e-05,4.09630226e-05
234,6.35549789e-05,-3.21986565e-06,8.29676986e-05,4.23397861e-05
235,6.35548127e-05,-3.21986142e-06,8.55820818e-05,4.36506675e-05
236,6.35546556e-05,-3.21985743e-06,8.80537589e-05,4.48901939e-05
237,6.35545082e-05,-3.21985369e-06,9.03724294e-05,4.60532146e-05
238,6.35543712e-05,-3.21985021e-06,9.25284674e-05,4.71349167e-05
239,6.35542451e-05,-3.21984700e-06,9.45129511e-05,4.81308392e-05
240,6.35541304e-05,-3.21984408e-06,9.63176891e-05,4.90368862e-05
241,6.35540276e-05,-3.21984147e-06,9.79352463e-05,4.98493401e-05
242,6.35539371e-05,-3.21983916e-06,9.93589670e-05,5.05648729e-05
243,6.35538593e-05,-3.21983718e-06,1.00582997e-04,5.11805574e-05
244,6.35537945e-05,-3.21983553e-06,1.01602302e-04,5.16938766e-05
245,6.35537430e-05,-3.21983421e-06,1.02412685e-04,5.21027317e-05
246,6.35537050e-05,-3.21983323e-06,1.03010800e-04,5.24054494e-05
247,6.35536806e-05,-3.21983261e-06,1.03394162e-04,5.26007874e-05
248,6.35536700e-05,-3.21983232e-06,1.03561154e-04,5.26879379e-05
249,6.35536732e-05,-3.21983239e-06,1.03511038e-04,5.26665305e-05
250,6.35536901e-05,-3.21983281e-06,1.03243947e-04,5.25366329e-05
251,6.35537208e-05,-3.21983358e-06,1.02760891e-04,5.22987497e-05
252,6.35537651e-05,-3.21983469e-06,1.02063750e-04,5.19538207e-05
253,6.35538229e-05,-3.21983614e-06,1.01155263e-04,5.15032158e-05
254,6.35538938e-05,-3.21983792e-06,1.00039021e-04,5.09487303e-05
255,6.35539777e-05,-3.21984004e-06,9.87194486e-05,5.02925765e-05
256,6.35540742e-05,-3.21984247e-06,9.72017873e-05,4.95373755e-05
257,6.35541828e-05,-3.21984521e-06,9.54920750e-05,4.86861463e-05
258,6.35543033e-05,-3.21984825e-06,9.35971206e-05,4.77422933e-05
259,6.35544350e-05,-3.21985158e-06,9.15244776e-05,4.67095934e-05
260,6.35545775e-05,-3.21985517e-06,8.92824130e-05,4.55921804e-05
261,6.35547302e-05,-3.21985903e-06,8.68798754e-05,4.43945285e-05
262,6.35548925e-05,-3.21986313e-06,8.43264582e-05,4.31214346e-05
263,6.35550638e-05,-3.21986745e-06,8.16323623e-05,4.17779994e-05
264,6.35552433e-05,-3.21987199e-06,7.88083551e-05,4.03696066e-05
265,6.35554303e-05,-3.21987672e-06,7.58657277e-05,3.89019021e-05
266,6.35556241e-05,-3.21988161e-06,7.28162501e-05,3.73807710e-05
267,6.35558240e-05,-3.21988666e-06,6.96721244e-05,3.58123144e-05
268,6.35560290e-05,-3.21989185e-06,6.64459364e-05,3.42028256e-05
269,6.35562385e-05,-3.21989714e-06,6.31506053e-05,3.25587643e-05
270,6.35564515e-05,-3.21990252e-06,5.97993329e-05,3.08867314e-05
271,6.35566672e-05,-3.21990798e-06,5.64055505e-05,2.91934431e-05
272,6.35568847e-05,-3.21991348e-06,5.29828661e-05,2.74857034e-05
273,6.35571032e-05,-3.21991900e-06,4.95450102e-05,2.57703777e-05
274,6.35573218e-05,-3.21992452e-06,4.61057810e-05,2.40543654e-05
275,6.35575397e-05,-3.21993003e-06,4.26789898e-05,2.23445723e-05
276,6.35577558e-05,-3.21993549e-06,3.92784062e-05,2.06478835e-05
277,6.35579694e-05,-3.21994089e-06,3.59177030e-05,1.89711354e-05
278,6.35581796e-05,-3.21994621e-06,3.26104022e-05,1.73210894e-05
279,6.35583856e-05,-3.21995141e-06,2.93698211e-05,1.57044042e-05
280,6.35585865e-05,-3.21995649e-06,2.62090192e-05,1.41276099e-05
281,6.35587815e-05,-3.21996142e-06,2.31407465e-05,1.25970815e-05
282,6.35589699e-05,-3.21996618e-06,2.01773926e-05,1.11190141e-05
283,6.35591508e-05,-3.21997075e-06,1.73309373e-05,9.69939772e-06
